DATE,DEXNOUS
2021-10-28,8.3286
2021-10-29,8.4545
2021-11-01,8.3931
2021-11-02,8.5055
2021-11-03,8.5333
2021-11-04,8.5596
2021-11-05,8.5605
2021-11-08,8.5073
2021-11-09,8.5238
2021-11-10,8.5984
2021-11-11,.
2021-11-12,8.6867
2021-11-15,8.6947
2021-11-16,8.7223
2021-11-17,8.7439
2021-11-18,8.8231
2021-11-19,8.8702
2021-11-22,8.9068
2021-11-23,8.9082
2021-11-24,8.9658
2021-11-25,.
2021-11-26,9.0849
2021-11-29,9.0579
2021-11-30,9.1119
2021-12-01,9.1119
2021-12-02,9.0937
2021-12-03,9.1854
2021-12-06,9.1191
2021-12-07,9.0344
2021-12-08,8.8878
2021-12-09,9.0008
2021-12-10,8.9529
2021-12-13,9.052
2021-12-14,9.1138
2021-12-15,9.0847
2021-12-16,8.9925
2021-12-17,9.0072
2021-12-20,9.0488
2021-12-21,8.96
2021-12-22,8.8812
2021-12-23,8.8343
2021-12-24,.
2021-12-27,8.8391
2021-12-28,8.8008
2021-12-29,8.795
2021-12-30,8.8076
2021-12-31,.
2022-01-03,8.8747
2022-01-04,8.8417
2022-01-05,8.8014
2022-01-06,8.8842
2022-01-07,8.8403
2022-01-10,8.8697
2022-01-11,8.7913
2022-01-12,8.6828
2022-01-13,8.6782
2022-01-14,8.7529
2022-01-17,.
2022-01-18,8.7982
2022-01-19,8.7655
2022-01-20,8.757
2022-01-21,8.8856
2022-01-24,9.0348
2022-01-25,8.9646
2022-01-26,8.8822
2022-01-27,8.9573
2022-01-28,8.9795
2022-01-31,8.9067
2022-02-01,8.9075
2022-02-02,8.8579
2022-02-03,8.7388
2022-02-04,8.7766
2022-02-07,8.7971
2022-02-08,8.8224
2022-02-09,8.807
2022-02-10,8.7407
2022-02-11,8.8043
2022-02-14,8.8883
2022-02-15,8.8919
2022-02-16,8.8719
2022-02-17,8.9161
2022-02-18,8.9953
2022-02-21,.
2022-02-22,8.882
2022-02-23,8.8769
2022-02-24,9.0275
2022-02-25,8.8556
2022-02-28,8.8141
2022-03-01,8.8827
2022-03-02,8.8748
2022-03-03,8.9216
2022-03-04,8.9744
2022-03-07,9.0569
2022-03-08,8.9813
2022-03-09,8.905
2022-03-10,8.9462
2022-03-11,8.9761
2022-03-14,9.0047
2022-03-15,9.011
2022-03-16,8.9222
2022-03-17,8.7818
2022-03-18,8.7541
2022-03-21,8.7232
2022-03-22,8.7541
2022-03-23,8.7087
2022-03-24,8.6557
2022-03-25,8.633
2022-03-28,8.7247
2022-03-29,8.6547
2022-03-30,8.5756
2022-03-31,8.7587
2022-04-01,8.742
2022-04-04,8.7101
2022-04-05,8.7343
2022-04-06,8.7337
2022-04-07,8.8132
2022-04-08,8.6926
2022-04-11,8.8082
2022-04-12,8.7439
2022-04-13,8.7729
2022-04-14,8.8149
2022-04-15,8.8032
2022-04-18,8.8544
2022-04-19,8.8195
2022-04-20,8.8038
2022-04-21,8.8589
2022-04-22,8.94
2022-04-25,9.161
2022-04-26,9.2237
2022-04-27,9.3489
2022-04-28,9.4133
2022-04-29,9.33
2022-05-02,9.439
2022-05-03,9.3895
2022-05-04,9.406
2022-05-05,9.5126
2022-05-06,9.4562
2022-05-09,9.6495
2022-05-10,9.7277
2022-05-11,9.6884
2022-05-12,9.8885
2022-05-13,9.7819
2022-05-16,9.8086
2022-05-17,9.6738
2022-05-18,9.7965
2022-05-19,9.7008
2022-05-20,9.7548
2022-05-23,9.6085
2022-05-24,9.569
2022-05-25,9.6234
2022-05-26,9.5635
2022-05-27,9.4887
2022-05-30,.
2022-05-31,9.3607
2022-06-01,9.4859
2022-06-02,9.3911
2022-06-03,9.4488
2022-06-06,9.4109
2022-06-07,9.476
2022-06-08,9.4312
2022-06-09,9.5537
2022-06-10,9.678
2022-06-13,9.8897
2022-06-14,9.9975
2022-06-15,10.0258
2022-06-16,9.9908
2022-06-17,10.0243
2022-06-20,.
2022-06-21,9.8313
2022-06-22,9.8871
2022-06-23,9.9821
2022-06-24,9.8656
2022-06-27,9.7824
2022-06-28,9.8266
2022-06-29,9.8629
2022-06-30,9.8621
2022-07-01,9.9568
2022-07-04,.
2022-07-05,10.0896
2022-07-06,10.1534
2022-07-07,10.088
2022-07-08,10.0902
2022-07-11,10.1621
2022-07-12,10.2064
2022-07-13,10.1726
2022-07-14,10.2442
2022-07-15,10.1556
2022-07-18,10.0582
2022-07-19,9.9082
2022-07-20,9.9425
2022-07-21,9.974
2022-07-22,9.913
2022-07-25,9.8442
2022-07-26,9.9028
2022-07-27,9.8502
2022-07-28,9.7695
2022-07-29,9.6728
2022-08-01,9.6119
2022-08-02,9.7326
2022-08-03,9.7273
2022-08-04,9.7433
2022-08-05,9.811
2022-08-08,9.7255
2022-08-09,9.712
2022-08-10,9.5061
2022-08-11,9.4932
2022-08-12,9.574
2022-08-15,9.6819
2022-08-16,9.6806
2022-08-17,9.7292
2022-08-18,9.7092
2022-08-19,9.8069
2022-08-22,9.8443
2022-08-23,9.7077
2022-08-24,9.6815
2022-08-25,9.695
2022-08-26,9.7103
2022-08-29,9.7474
2022-08-30,9.8002
2022-08-31,9.9031
2022-09-01,10.0534
2022-09-02,9.9497
2022-09-05,.
2022-09-06,9.9971
2022-09-07,10.046
2022-09-08,10.0765
2022-09-09,9.9101
2022-09-12,9.9154
2022-09-13,10.0682
2022-09-14,10.0884
2022-09-15,10.1573
2022-09-16,10.2143
2022-09-19,10.2649
2022-09-20,10.3107
2022-09-21,10.3149
2022-09-22,10.4058
2022-09-23,10.5963
2022-09-26,10.7863
2022-09-27,10.7801
2022-09-28,10.7339
2022-09-29,10.7241
2022-09-30,10.8719
2022-10-03,10.7097
2022-10-04,10.4798
2022-10-05,10.5955
2022-10-06,10.6927
2022-10-07,10.6709
2022-10-10,.
2022-10-11,10.6559
2022-10-12,10.7769
2022-10-13,10.587
2022-10-14,10.6639
2022-10-17,10.5137
2022-10-18,10.5869
2022-10-19,10.6174
2022-10-20,10.5816
2022-10-21,10.5309
2022-10-24,10.5174
2022-10-25,10.3861
2022-10-26,10.2547
2022-10-27,10.2455
2022-10-28,10.3638
